#,"Year 1","Year 2","Year 3","Year 4","Year 5",Selected,Active,Barcode(s),"Asset Type",Consumable,"Asset Name","Asset Description","Bin Location","Pick Number",Campus,Building,Room,Zone,Category,"Custom Label and Max booking limit",Course,Store
27,No,No,No,No,No,No,No,DMM00027,0,No,"AKG C12 x1 kit 1","1 C12 in wooden box with PSU and leads",,,,P.A.T.S,,,"Microphones, Brand: AKG, Type: Valve, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Large Diaphragm",,,
28,No,No,No,No,No,No,Yes,DMM00028,0,No,"AKG C12 x2 kit 2","2 C12s in black cases. PSUs and leads in separate flight case.",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Type: Valve, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Large Diaphragm",,,
29,No,No,No,No,No,No,Yes,DMM00030,0,No,"AKG C24 x1 kit","Stereo valve mic, from the 1950s",,,,P.A.T.S,,B7,"Microphones, Brand: AKG, Type: Valve, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Large Diaphragm",,,
30,No,No,No,No,No,No,No,DMM00745,0,No,"AKG C3000 No. 1","Large Diaphram Condenser",,,,P.A.T.S,PA16,,"Microphones, Brand: AKG",,,
31,No,No,No,No,No,No,Yes,DMM00019,0,No,"AKG C414B-ULS x2 kit 1","Includes stereo bar (see TOI 81 for 414 details).",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,,
32,No,No,No,No,No,No,Yes,DMM00020,0,No,"AKG C414B-ULS x2 kit 2","Includes stereo bar (see TOI 81 for 414 details).",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,,
33,No,No,No,No,No,No,Yes,DMM00021,0,No,"AKG C414B-XLS x1 kit 1","See TOI 81 for 414 details.",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,,
34,No,No,No,No,No,No,Yes,DMM00022,0,No,"AKG C414B-XLS x1 kit 2","See TOI 81 for 414 details.",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,,
35,No,No,No,No,No,No,Yes,DMM00023,0,No,"AKG C414B-XLS x1 kit 3","See TOI 81 for 414 details.",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,,
36,No,No,No,No,No,No,No,DMM00024,0,No,"AKG C414B-XLS x1 kit 4","See TOI 81 for 414 details.",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,,
37,No,No,No,No,No,No,Yes,DMM00025,0,No,"AKG C414B-XLS x1 kit 5","See TOI 81 for 414 details.",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,,
38,No,No,No,No,No,No,Yes,DMM00026,0,No,"AKG C414B-XLS x1 kit 6","See TOI 81 for 414 details.",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,,
39,No,No,No,No,No,No,Yes,DMM00018,0,No,"AKG C414EB x2 kit 1","Includes stereo bar (see TOI 81 for 414 details).",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,,
40,No,No,No,No,No,No,Yes,DMM00830,0,No,"AKG C414 XLS","Cardioid condenser large diaphragm Microphone, in Metal case, with Shock mount, Pop filter and Soft pop",,,,P.A.T.S,,K3,"Microphones, Brand: AKG",,"UOS / CMT",
41,No,No,No,No,No,No,Yes,DMM00031,0,No,"AKG C426","Stereo mic with 414 capsules. Includes PSU in box. Separate Mic lead.",,,,P.A.T.S,,A1,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Large Diaphragm",,,
42,No,No,No,No,No,No,No,DMM00714,0,No,"AKG C451E Kit 1","A kit of 2 microphones with cardioid capsules.
Separate accessories include shotgun mic capsules.
Gooseneck unobtrusive microphone stands",,,,P.A.T.S,PA16,,"TV Studio Microphones, Brand: AKG",,,
43,No,No,No,No,No,No,Yes,DMM00032,0,No,"AKG C451 x2 kit 1","With stereo bar, cardioid and figure of 8 capsules & 10dB pads.",,,,P.A.T.S,,A2,"Microphones, Brand: AKG, Directivity: Cardioid, Directivity: Fig-8, Type: Condenser, Type: Small Diaphragm",,,
44,No,No,No,No,No,No,Yes,DMM00033,0,No,"AKG C451 x2 kit 2","With stereo bar, 2 x cardioid and 1 x omni capsules & 20dB pads.",,,,P.A.T.S,,A2,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm",,,
45,No,No,No,No,No,No,Yes,DMM00034,0,No,"AKG C460B x2 kit 1","With cardioid and omni capsules.",,,,P.A.T.S,,A2,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm",,,
46,No,No,No,No,No,No,Yes,DMM00035,0,No,"AKG C460B x2 kit 2","Cardioid capsules only.",,,,P.A.T.S,,A2,"Mains distribution, Microphones, Brand: AKG, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm",,,
47,No,No,No,No,No,No,Yes,DMM00036,0,No,"AKG C567E","Clip on omni.",,,,P.A.T.S,,B4,"Microphones, Brand: AKG, Directivity: Omni, Type: Condenser, Type: Lavalier",,,
48,No,No,No,No,No,No,Yes,DMM00037,0,No,"AKG D112E","Dynamic kick drum microphone.",,,,P.A.T.S,,B4,"Microphones, Brand: AKG, Directivity: Cardioid, Type: Dynamic",,,
49,No,No,No,No,No,No,Yes,DMM00038,0,No,"AKG D12","Dynamic kick drum microphone. Reputed to be able to pick up AM radio.",,,,P.A.T.S,,B4,"Microphones, Brand: AKG, Directivity: Cardioid, Type: Dynamic",,,
50,No,No,No,No,No,No,Yes,DMM00719,0,No,"AKG Goosenecks",,,,,P.A.T.S,PA16,"Between D & E","TV Studio Microphones, Brand: AKG",,,
51,No,No,No,No,No,No,Yes,DMM00147,0,No,"AKG Pop Shield No. 1",,,,,P.A.T.S,,,"Pop shields",,,
52,No,No,No,No,No,No,Yes,DMM00148,0,No,"AKG Pop Shield No. 2",,,,,P.A.T.S,,,"Pop shields",,,
53,No,No,No,No,No,No,Yes,DMM00146,0,No,"AKG Pop Shield No. 3",,,,,P.A.T.S,,,"Pop shields",,,
54,No,No,No,No,No,No,Yes,DMM00886,0,No,"AKG Pop Shield No. 4",,,,,P.A.T.S,,,"Pop shields",,,
55,No,No,No,No,No,No,Yes,DMM00883,0,No,"AKG Pop Shield No. 5",,,,,P.A.T.S,,,"Pop shields",,,
56,No,No,No,No,No,No,Yes,DMM00884,0,No,"AKG Pop Shield No. 6",,,,,P.A.T.S,,,"Pop shields",,,
57,No,No,No,No,No,No,Yes,DMM00885,0,No,"AKG Pop Shield No. 7",,,,,P.A.T.S,,,"Pop shields",,,
58,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00746, DMM00747, DMM00721, DMM00720, DMM00713",0,No,"AKG SE300B","Pencil Microphone with CK91 Cardiod and CK94 figure-eight Capsules",,,"Stag Hill",AC,04AC01,,"Microphones, FPBE Microphones",,FPBE,
59,No,No,No,No,No,No,Yes,DMM01097,0,No,"ALM System Coupe","CAN ONLY BE BOOKED OUT FOR USE IN THE SYNTH LAB

Comes in hard case with: 
Transparent desk-saver
PSU
Various patch cables
MIDI to 3.5mm adaptor
2 x USB memory sticks with software

Specifications:
https://busycircuits.com/coupe/",,,,P.A.T.S,PA16,I5,"Musical Instruments, Computer Interfaces & Peripherals",,"UOS / CMT",
60,No,No,No,No,No,No,Yes,DMM01088,0,No,"Alto Flute No.1","When booking this please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). Please then return it to PA17 when your booking is finished.

Comes with hard and zip-up carry cases with cleaning stick

Currently in Debbie Davies' locker",,,,,"Debbie Davies' Locker","Inner Store","Musical Instruments",,,
61,No,No,No,No,No,No,Yes,DMM01089,0,No,"Alto Flute No.2","When booking this please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). Please then return it to PA17 when your booking is finished.

Comes with hard carry case and cleaning rod. 
Note: Large hands are required to play this.

Currently in Debbie Davies' locker",,,,,"Debbie Davies' Locker","Inner Store","Musical Instruments",,,
62,No,No,No,No,No,No,Yes,DMM00104,0,No,"ALU Location Recording Kit","Alan''s Lash Up... See TOI 55
Includes:
- Stage box with Merging Horus w/ 32 mic inputs + MADI I/O
- Control room box 1 with Merging Hapi w/16 line outputs
- Control room box 2 with 8 channels of Neve EQ
- Control room box 3 with Neve stereo mixer & Tascam 2-channel recorders
- Fader box with 16-channel Neve fader controller
- Leads case with multicores",,,,P.A.T.S,,,"Portable Recorders, Portable Consoles",,,
63,No,Yes,No,Yes,Yes,Yes,Yes,DMM00842,0,No,"Ambient Clockit Controller","Timecode Master Clock with LTC and ASCII Timecode",,,"Stag Hill",AC,04AC01,,"Timecode Systems",,FPBE,
64,No,Yes,No,Yes,Yes,Yes,Yes,"DMM00839, DMM00840",0,No,"Ambient Lockit Box ","Timecode and Sync Generator",,,"Stag Hill",AC,04AC01,,"Timecode Systems",,FPBE,
65,No,No,No,No,No,No,Yes,DMM01140,0,No,"C-Stand 40"" With Sliding Leg",,,,"Stag Hill",Nodus,11NC01,,"DSLR Cameras",,FPBE,
66,No,No,No,No,No,No,Yes,DMM01141,0,No,"C-Stand 40"" With Sliding Leg",,,,"Stag Hill",Nodus,11NC01,,,,FPBE,
67,No,No,No,No,No,No,Yes,DMM01142,0,No,"Aputure 2x Fresnel Lens",,,,"Stag Hill",Nodus,11NC01,,"Lighting Accessories",,FPBE,
68,No,No,No,No,No,No,Yes,"DMM01143, DMM01144",0,No,"Aputure Barn Doors",,,,"Stag Hill",Nodus,11NC01,,"Lighting Accessories",,FPBE,
69,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01106,0,No,"Aputure F10 Barn Doors","The F10 Barn Doors is a light shaping accessory for use with larger Bowens-Mount lights and Fresnel modifiers.

Compatible with Aputure F10 Fresnel and 600D Pro LED light. 
The larger barn door leaves are better for shaping light, particularly from large sources.
8-Leaf Adjustable Barn Doors: Large leaves with additional helper flags aid in precisely shaping light.
Includes Safety Cable: A safety cable and mounting point come fixed to the light for added security.",,,"Stag Hill",AC,04AC01,,"Lighting Accessories",,,
70,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01110,0,No,"Aputure F10 Fresnel Lens","Attachment for LS 600D LED Light

Up to 200,000 lux at 3.28' with the Aputure LS 600d
15 to 45° variable beam angle
10"" Glass Fresnel lens
Dual lens optical design
Compatible with F10 Barn Doors
Seamless focus adjustment
Minimises light leaks",,,"Stag Hill",AC,04AC01,,"Lighting Accessories",,,
71,No,No,No,No,No,No,Yes,DMM01147,0,No,"Aputure Light Dome II",,,,"Stag Hill",Nodus,GLS,,"Lighting Accessories",,FPBE,
72,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01109,0,No,"Aputure Light Storm 600D Pro LED Light","Offers an immensely bright 600W COB LED output. It has a maximum 720W power draw which enables this light to achieve the brightness of 1200W HMIs. Compatible with Aputure F10 Fresnel lens and F10 Barn Doors.",,,"Stag Hill",AC,04AC01,,Lighting,,,
73,No,No,No,No,No,No,Yes,DMM01145,0,No,"Aputure LS120D LED Spotlight",,,,"Stag Hill",Nodus,GLS,,Lighting,,FPBE,
74,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01103,0,No,"Aputure MC 4-Light Travel Kit","Aputure MC 4-Light Travel Kit EU - RGBWW Film Lights with Full HSI Colour Control and CCT range of 3200K - 6500K
Kit Includes:
4 x Aputure MC
1 x Charging case
2 x Silicone diffuser
1 x USB-C charging cable
2 x Balhead
1 x Powercable
1 x Carrying pouch",,,"Stag Hill",AC,04AC01,,Lighting,,,
75,No,Yes,No,Yes,Yes,Yes,Yes,DMM01283,0,No,"Aputure MC Pro 12-Light Kit","Includes:
8x MC Pro
8x MC Pro Flat Diffuser
8x MC Pro Dome Diffuser
8x MC Pro 30º Light Control Grid
4x Cold Shoe Ball Head
4x 1/4-20in Screw to Magnetic Plate Adapter
4x 1/4-20in Screw to Baby Pin Adapter
2x 1/4-20in Articulating Arm to Clamp Adapter
2x USB Type-C Charging Cable
32x Adhesive Magnetic Plate
1x Locking IEC C13 AC Power Cable
1x D-Tap to D-Tap Power Cable
1x MC Pro 8-Light Charging Case",,,"Stag Hill",AC,04AC01,,Lighting,,,
76,No,No,No,No,No,No,Yes,DMM01146,0,No,"Aputure Space Light",,,,"Stag Hill",Nodus,GLS,,Lighting,,FPBE,
77,No,No,No,No,No,No,Yes,"DMM00805, DMM00806, DMM00807, DMM00808, DMM00809, DMM00810, DMM00811",0,No,"Arduino kit",,,,,,,A0,"Computer Interfaces & Peripherals",,,
78,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00934, DMM00959",0,No,"Arri 2000W Head Kit","Bag also contains:
Heat-proof gloves
10m Extension Lead",,,"Stag Hill",AC,04AC01,,Lighting,,,
79,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00519,0,No,"Arri 600W 3 head kit",,,,"Stag Hill",AC,04AC01,,Lighting,,,
80,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00520,0,No,"Arri 650W 3 head kit","Does not come with stands",,,"Stag Hill",AC,04AC01,,Lighting,,,
81,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00933,0,No,"Arri 800W 3 Head Kit","Bag also contains:
Heat proof gloves
10m Extension cable",,,"Stag Hill",AC,04AC01,,Lighting,,,
82,No,Yes,No,Yes,Yes,Yes,Yes,"DMM00847, DMM00848",0,No,"Arri Follow Focus Kit",,,,"Stag Hill",AC,04AC01,B2,"Camera and Lens Accessories",,,
83,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00635, DMM01079",0,No,"Arri Lighting Kit","Found in the red bag
150W heads",,,"Stag Hill",AC,04AC01,,Lighting,,,
84,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00636, DMM00637",0,No,"Arri Reflector - Medium ","Circular collapsible, silver.",,,"Stag Hill",AC,04AC01,,"Lighting Accessories",,,
85,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00980, DMM00989, DMM00981, DMM00982, DMM00983, DMM00984, DMM00985, DMM00986, DMM00987, DMM00988",0,No,"Arri Sandbag No 1",,,,,PATS,PA16,,Stock,,,
86,No,No,No,No,No,No,Yes,DMM00142,0,No,"ART 24-way mic splitter kit","24 passive splitters in flight case. 1 x 20m XLR loom. 1 x 5m XLR loom",,,,P.A.T.S,,,Splitters,,,
87,No,No,No,No,No,No,Yes,DMM01034,0,No,"Arturia MicroFreak Vocoder","Comes with PSU, goose-neck mic, 2 grey jack to MIDI patch cables and USB cable",,,,P.A.T.S,PA16,J5,"Musical Instruments, Computer Interfaces & Peripherals",,"UOS / CMT",
88,No,No,No,No,No,No,Yes,DMM01118,0,No,"Ashdown - Evo II 500 Bass amp","When booking this amp please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). Please return this amp to PA17 when your booking is finished.",,,,P.A.T.S,PA17,"Inner Store","Monitors and Amps, Performance equipment",,"UOS / Music",
89,No,No,No,No,No,No,Yes,DMM01148,0,No,"Asus ZenPad 10 Android Tablet",,,,"Stag Hill",Nodus,11NC01,,"Computer Interfaces & Peripherals",,FPBE,
90,No,No,No,Yes,Yes,Yes,No,DMM01134,1,No,"Atmos Room (14 AC 01)",,,,"Stag Hill",AC,,,"Media Labs",,,
91,No,No,No,No,No,No,Yes,DMM01149,0,No,"Atomos 19M Calibration Cable for X-Rite i1",,,,"Stag Hill",Nodus,11NC01,,"TV Studio Equipment",,FPBE,
92,No,No,No,No,No,No,Yes,DMM01150,0,No,"Atomos Shogun Flame",,,,"Stag Hill",Nodus,GLS,,"Portable Recorders, TV Studio Equipment",,FPBE,
93,No,Yes,No,Yes,Yes,Yes,Yes,DMM00375,0,No,"Atomos Shogun","4K Recorder
https://www.atomos.com/shogun",,,"Stag Hill",AC,04AC01,,"Portable Recorders",,,
94,No,No,No,No,No,No,Yes,DMM01151,0,No,"Atomos Sumo 19M + Sunhood",,,,"Stag Hill",Nodus,GLS,,"Portable Recorders, TV Studio Equipment",,FPBE,
95,Yes,Yes,No,Yes,Yes,Yes,Yes,AudioLab,1,No,"Audio Lab (01 AC 02)",,,,"Stag Hill",AC,,,Other,,,
96,No,No,No,No,No,No,Yes,DMM00722,0,No,"Audio-Technics AT803",,,,,P.A.T.S,PA16,,"TV Studio Microphones",,,
97,No,No,No,No,No,No,Yes,DMM00723,0,No,"Audio-Technics AT803b",,,,,P.A.T.S,PA16,,"TV Studio Microphones",,,
98,No,No,No,No,No,No,Yes,DMM00724,0,No,"Audio-Technics AT8505",,,,,P.A.T.S,PA16,,"TV Studio Microphones",,,
99,No,No,No,No,No,No,Yes,DMM00873,0,No,"Audix D6","Special microphone for bass drums
Comes with dedicated mic-clip",,,,P.A.T.S,PA16,B3,Microphones,,Ton,
100,No,No,No,No,No,No,No,DMM00756,0,No,"Baby Grand Kawai Piano (PA1)",,,,,,,,Stock,,,
101,No,No,No,No,No,No,Yes,DMM01152,0,No,"Barco ClickShare CSE-200 Wireless Presentation System",,,,"Stag Hill",Nodus,11NC01,,"Computer Interfaces & Peripherals",,FPBE,
102,No,No,No,No,No,No,Yes,DMM00863,0,No,"Baritone Sax","When booking this please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). Please then return it to PA17 when your booking is finished.",,,,,PA17,"Inner Store","Musical Instruments",,,
103,No,No,No,No,No,No,Yes,DMM00775,0,No,"Bass Clarinet","When booking this instrument please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). 
The clarinet is situated on the left-hand shelving in the inner-store.
Please return the instrument to PA17 when your booking is finished.",,,,P.A.T.S,PA17,,"Musical Instruments",,,
104,No,No,No,No,No,No,Yes,DMM01153,0,No,"Benro HH75AV Hi Hat Tripod & Head",,,,"Stag Hill",Nodus,10aNC01,,"Tripods & Mounts",,FPBE,
105,No,No,No,No,No,No,No,DMM00163,0,No,"Beyerdynamic DT 150 no. 1",,,,,P.A.T.S,,"K1 (Clear Box)","Headphones and Headphone amps",,,
106,No,No,No,No,No,No,No,DMM00164,0,No,"Beyerdynamic DT 150 no. 2",,,,,P.A.T.S,,"K1 (Clear Box)","Headphones and Headphone amps",,,
107,No,No,No,No,No,No,No,DMM00165,0,No,"Beyerdynamic DT 150 no. 3",,,,,P.A.T.S,,"K1 (Clear Box)","Headphones and Headphone amps",,,
108,No,Yes,No,Yes,Yes,Yes,Yes,DMM01086,0,No,"Beyerdynamic DT770 Headphones No. 1","DT 770 PRO
Reference headphones for control and monitoring purpose – 80 ohms (closed)",,,,PATS,PA16,I3,"Headphones and Headphone amps",,,
109,No,Yes,No,Yes,Yes,Yes,Yes,DMM01087,0,No,"Beyerdynamic DT770 Headphones No. 2","DT 770 PRO
Reference headphones for control and monitoring purpose – 80 ohms (closed)",,,,PATS,PA16,I3,"Headphones and Headphone amps",,,
110,No,No,No,No,No,No,Yes,DMM01124,0,No,"Beyerdynamic M160 No 1","Double-Ribbon Microphone
TRANSDUCER TYPE: Ribbon
POLAR PATTERN: Hypercardioid
MICROPHONE FREQUENCY RESPONSE: 40 - 18,000 Hz
CONNECTION TYPE: XLR 3-pin",,,,P.A.T.S,PA16,B4,"Microphones, Type: Ribbon, Directivity: Hyper, Brand: Beyerdynamic",,,
111,No,No,No,No,No,No,Yes,DMM01125,0,No,"Beyerdynamic M160 No 2","Double-Ribbon Microphone
TRANSDUCER TYPE: Ribbon
POLAR PATTERN: Hypercardioid
MICROPHONE FREQUENCY RESPONSE: 40 - 18,000 Hz
CONNECTION TYPE: XLR 3-pin",,,,P.A.T.S,PA16,B4,"Microphones, Type: Ribbon, Directivity: Hyper, Brand: Beyerdynamic",,,
112,No,No,No,No,No,No,Yes,DMM00040,0,No,"Beyerdynamic M 88 TG No. 1","Dynamic microphone.",,,,P.A.T.S,,B3,"Microphones, Directivity: Hyper, Type: Dynamic, Brand: Beyerdynamic",,,
113,No,No,No,No,No,No,No,DMM00041,0,No,"Beyerdynamic M 88 TG No. 2","Dynamic microphone.",,,,P.A.T.S,,B3,"Microphones, Directivity: Hyper, Type: Dynamic, Brand: Beyerdynamic",,,
114,No,No,No,No,No,No,Yes,DMM00725,0,No,"Beyerdynamic MCE5.11",,,,,P.A.T.S,PA16,,"TV Studio Microphones",,,
115,No,No,No,No,No,No,Yes,DMM00726,0,No,"Beyerdynamic Opus 51",,,,,P.A.T.S,PA16,,"TV Studio Microphones",,,
116,No,No,No,No,No,No,Yes,DMM00039,0,No,"Beyerdynamic TG D57c x3 kit","Kit of 3 x Cardioid condenser drum microphones fitted with clip mounts and goosenecks",,,,P.A.T.S,,A5,"Microphones, Directivity: Cardioid, Type: Condenser, Brand: Beyerdynamic",,,
117,No,No,No,No,No,No,Yes,DMM00042,0,No,"B&K 4011 x2 kit","Kit of 2 small diaphragm cardioids.",,,,P.A.T.S,,B4,"Microphones, Brand: B&K/DPA, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm",,,
118,No,No,No,No,No,No,Yes,DMM00821,0,No,"Blackmagic MultiDock","""BlackMagic Thunderbolt 4 Port SSD Dock",,,,,,"Jon's Desk","Computer Interfaces & Peripherals",,,
119,No,No,No,No,Yes,Yes,Yes,DMM00377,0,No,"Blackmagic Production Camera 4K","4K production Camera with EF Lens Mount

Serial - 2043789

**Includes 480GB SSD**

Hand Held Cinema Camera. Two-grip frame and 480GB SSD in kit. 

https://www.blackmagicdesign.com/uk/products/cinemacameras",,,"Stag Hill",AC,04AC01,,Camcorders,,,
